Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,Variacao 1/0,mm_5,mm_10,retorno_diario,retorno_acumulado,volatilidade_5d,vol_21d,vol_historica_anual,vol_historica
2022-09-30,110.037,107.664,110.502,107.315,"16,54M","2,20%",1,108.72840000000001,110.5705,0.022040793580026863,-0.07198940736929982,0.016467043580387513,0.014821399463726598,0.2352824223778,0.015786401225103774
2022-10-03,116.134,110.048,116.134,110.048,"20,98M","5,54%",1,110.1324,111.00150000000001,0.05540863527722495,-0.020569606908824034,0.026610588624835528,0.019053767666065303,0.3024691846992743,0.015786401225103774
2022-10-04,116.23,116.147,118.28,115.837,"16,08M","0,08%",1,111.7032,111.37280000000001,0.0008266313052163188,-0.019759979084614465,0.025402913089925466,0.019053866899144793,0.30247075997557527,0.015786401225103774
2022-10-05,117.198,116.231,117.514,115.906,"13,56M","0,83%",1,113.45259999999999,111.899,0.00832831454873939,-0.011596231857168182,0.02459373971838231,0.018976290272171112,0.30123926920043376,0.015786401225103774
2022-10-06,117.561,117.2,118.382,117.144,"14,52M","0,31%",0,115.43199999999999,112.2481,0.0030973224799060173,-0.00853482664687566,0.022507066102730146,0.01816338034232253,0.28833472412438793,0.015786401225103774
2022-10-07,116.375,117.56,117.96,115.924,"13,62M","-1,01%",0,116.6996,112.71400000000001,-0.010088379649713874,-0.018537103725131288,0.025439195708919053,0.018398940504345904,0.2920741257694355,0.015786401225103774
2022-10-10,115.941,116.377,116.841,115.261,"11,43M","-0,37%",0,116.66100000000002,113.39670000000001,-0.0037293233082706934,-0.022197296180411996,0.006979088197320369,0.017929916311236412,0.28462859752639275,0.015786401225103774
2022-10-11,114.827,115.928,115.928,114.297,"13,14M","-0,96%",0,116.38040000000001,114.04180000000001,-0.009608335273975643,-0.0315923523905105,0.008033611687632216,0.01798862576563996,0.28556058122215316,0.015786401225103774
2022-10-13,114.3,114.819,115.367,112.69,"14,58M","-0,46%",0,115.80080000000001,114.6267,-0.0045895129194353235,-0.0360368718004942,0.005349690981466569,0.017202194185866458,0.2730763669226632,0.015786401225103774
2022-10-14,112.072,114.301,114.712,111.631,"13,10M","-1,95%",1,114.703,115.0675,-0.019492563429571286,-0.05482698422069099,0.006277396568589208,0.017797678379315226,0.2825293854358751,0.015786401225103774
2022-10-17,113.624,112.107,114.406,112.09,"11,63M","1,38%",1,114.1528,115.4262,0.013848240416874713,-0.041738001062636476,0.012123348432709555,0.01795799246472021,0.2850742926457292,0.015786401225103774
2022-10-18,115.743,113.627,115.795,113.627,"14,74M","1,87%",1,114.1132,115.38709999999999,0.018649229036119097,-0.0238671535678443,0.016067254344719464,0.018228732914934383,0.2893721640524034,0.015786401225103774
2022-10-19,116.274,115.744,116.459,115.264,"12,73M","0,46%",1,114.4026,115.3915,0.0045877504471112385,-0.01938889966518509,0.015230087572807678,0.017630172747760672,0.2798703159700981,0.015786401225103774
2022-10-20,117.171,116.276,117.367,116.276,"16,92M","0,77%",1,114.9768,115.38880000000002,0.007714536353785162,-0.011823939682726992,0.014764808320212076,0.01765130566691436,0.280205790661443,0.015786401225103774
2022-10-21,119.929,117.17,120.752,116.736,"18,58M","2,35%",0,116.5482,115.62559999999999,0.02353824751858391,0.011435993016960078,0.0077485736740510874,0.018166236814723305,0.2883800692179841,0.015786401225103774
2022-10-24,116.013,119.922,119.924,115.793,"13,28M","-3,27%",0,117.026,115.5894,-0.03265265281958485,-0.021590075312254764,0.02209767081645985,0.019406090900907388,0.3080621426622861,0.015786401225103774
2022-10-25,114.626,116.016,116.203,114.626,"14,73M","-1,20%",0,116.80260000000001,115.4579,-0.011955556704852044,-0.03328751064744917,0.021379705728472344,0.019010998011136208,0.3017902374756597,0.015786401225103774
2022-10-26,112.764,114.626,114.626,112.577,"16,09M","-1,62%",1,116.10060000000001,115.25159999999998,-0.01624413309371353,-0.04899091698784708,0.021859433455927745,0.01861144879328003,0.2954475902737928,0.015786401225103774
2022-10-27,114.641,112.766,116.236,112.765,"15,53M","1,66%",0,115.59459999999999,115.28569999999999,0.0166453832783513,-0.03316100629991636,0.023551442011611416,0.01877752309615453,0.2980839381011789,0.015786401225103774
2022-10-28,114.539,114.636,114.712,113.336,"14,39M","-0,09%",1,114.5166,115.53240000000001,-0.0008897340393053677,-0.0340212358631391,0.018331127847486996,0.01878976258438297,0.2982782339533418,0.015786401225103774
2022-10-31,116.037,114.533,116.763,112.113,"21,64M","1,31%",1,114.5214,115.7737,0.01307851474170385,-0.021387668356202427,0.014625616598835212,0.01877115647797113,0.2979828711707442,0.015786401225103774
2022-11-01,116.929,116.037,118.261,115.547,"17,97M","0,77%",0,114.982,115.8923,0.007687203219662653,-0.013864876489588673,0.01313049568462623,0.01832749380765681,0.290939944620817,0.015786401225103774
